Nº Colecção;ISBN;Título;Edição;Autor;Autor 2;Editora;Ano;Género;Idioma;Páginas;Localização;Estado;Observações;Valor;Capa (URL)
150-619;1555211895;Toulouse-Lautrec : his complete lithographs and drypoints;;de Toulouse-Lautrec, Henri;press, Wellfleet;Wellfleet press;1964;;;370;;Disponível;;;
150-620;9780300051964;Toulouse-Lautrec.;;de Toulouse-Lautrec, Henri;Atterberry, Gisele;Yale University Press;1991;;;557;;Disponível;;;
150-621;9780500202500;Toulouse-Lautrec;;Denvir, Bernard;and Hudson, Thames;Thames and Hudson;1991;;;216;;Disponível;;;https://covers.openlibrary.org/b/isbn/9780500202500-L.jpg
150-622;1870630866;Toulouse-Lautrec and the Paris of the cabarets.;;Lasssaigne, Jacques;Books, Bloomsbury;Bloomsbury Books;1989;;;;;Disponível;;;
150-623;9782848450049;Toyen, une femme surrealiste;;Srp, Karel;Artha;Artha;2002;;;264;;Disponível;;;
150-624;9780500200834;Turner;;Reynolds, Graham;& Hudson, Thames;Thames & Hudson;1985;;;216;;Disponível;;;https://covers.openlibrary.org/b/id/315932-L.jpg
150-625;0226061892;Turner and the sublime;;Wilton, Andrew;of Chicago Press, University;University of Chicago Press;1981;;;192;;Disponível;;;https://covers.openlibrary.org/b/id/9326891-L.jpg
150-626;0890099057;J.M.W. Turner;;Wilton, Andrew;Sales, Book;Book Sales;1985;;;527;;Disponível;;;https://covers.openlibrary.org/b/id/8316797-L.jpg
150-627;9780947753085;Uzo Egonu;;Oguibe, Olu;Press, Kala;Kala Press;1997;;;176;;Disponível;;;https://covers.openlibrary.org/b/id/2692799-L.jpg
150-628;9066304286;Het geheim van Van Eyck;;Brinkman, Pim;Waanders;Waanders;1993;;;347;;Disponível;;;https://covers.openlibrary.org/b/id/13859711-L.jpg
150-629;0948462183;Jan van Eyck;;Harbison, Craig;Books, Reaktion;Reaktion Books;1991;;;228;;Disponível;;;https://covers.openlibrary.org/b/id/1686662-L.jpg
150-630;9789020924497;Van Eyck;;Van de Perre, Harold;van Eyck, Jan;Lannoo;1996;;;159;;Disponível;;;https://covers.openlibrary.org/b/id/13552489-L.jpg
150-631;0870994778;Van Gogh in Saint-Remy and Auvers;;Pickvance, Ronald;Metropolitan Museum of Art;Metropolitan Museum of Art;1986;;;325;;Disponível;;;https://covers.openlibrary.org/b/id/8243989-L.jpg
150-632;9782711821594;Van Gogh a Paris;;van Gogh, Vincent;de la culture et de la communication, Ministere;Ministere de la culture et de la communication;1988;;;403;;Disponível;;;https://covers.openlibrary.org/b/id/8378553-L.jpg
150-633;2711821595;Van Gogh a Paris;;van Gogh, Vincent;de la culture et de la communication, Ministere;Ministere de la culture et de la communication;1988;;;403;;Disponível;;;https://covers.openlibrary.org/b/id/8378553-L.jpg
150-634;9780500202326;Van Gogh;;A. McQuillan, Melissa;and Hudson, Thames;Thames and Hudson;1989;;;216;;Disponível;;;https://covers.openlibrary.org/b/id/316016-L.jpg
150-635;9788496233485;Van Gogh;;van Gogh, Vincent;Colección Thyssen-Bornemisza, Fundación;Fundación Colección Thyssen-Bornemisza;2007;;;199;;Disponível;;;
150-636;9780992638108;Van Gogh in Paris;;;;Eykyn MacLean Ltd;2013;;;;;Disponível;;;
150-637;9780375507489;Van Gogh;;Naifeh, Steven;House, Random;Random House;2011;;;953;;Disponível;;;https://covers.openlibrary.org/b/id/10715967-L.jpg
150-638;0517661225;Van Gogh;;Zeri, Federico;Lane, Park;Park Lane;1988;;;385;;Disponível;;;https://covers.openlibrary.org/b/id/12773338-L.jpg
150-639;9782842770075;Les chemins de Van Gogh;;Plazy, Gilles;Chêne;Chêne;1997;;;167;;Disponível;;;
150-640;9780006540250;The letters of Vincent van Gogh;;van Gogh, Vincent;Fontana;Fontana;1983;;;351;;Disponível;;;https://covers.openlibrary.org/b/isbn/9780006540250-L.jpg
150-641;0954495837;Victor Vasarely in black and white.;;Victor Vasarely;Robert Sandelson;Robert Sandelson;2005;;;44;;Disponível;;;https://covers.openlibrary.org/b/id/13236596-L.jpg
150-642;9781859952214;Diego Velázquez;;L Kagané, Liudmila;Parkstone;Parkstone;1996;;;175;;Disponível;;;https://covers.openlibrary.org/b/id/14349727-L.jpg
150-643;9788474904871;Velazquez;;Brown, Jonathan;Garrido, Carmen;Ediciones Encuentro;2005;;;215;;Disponível;;;https://covers.openlibrary.org/b/id/9511971-L.jpg
150-644;9789723315042;Velázquez;;;;Civilização Brasileira;1996;;;;;Disponível;;;
150-645;2070115852;Velázquez;;Marini, Maurizio;Gallimard;Gallimard;1998;;;167;;Disponível;;;https://covers.openlibrary.org/b/id/2136189-L.jpg
150-646;9061531365;Veranneman;;Claus, Hugo;Mercatorfonds;Mercatorfonds;1985;;;470;;Disponível;;;https://pictures.abebooks.com/inventory/3712012709.jpg
150-647;9789893302682;Pentimento;;Farto, Alexandre;Studio, Vhils;Vhils Studio;2020;;;603;;Disponível;;;
150-648;9789029082945;Vermeer;;Albert - Montias John Michael - Aillaud Gilles, Blankert;Meulenhoff;Meulenhoff;1992;;;;;Disponível;;;
150-649;9727760511;VESPEIRA ;;Santos, David;Museu do Chiado/Instituto Português de Museus;Museu do Chiado/Instituto Português de Museus;;;;;;Disponível;;;
150-650;3822800929;Paul Cezanne 1839-1906;;Duchting, Hajo;Taschen, Benedikt;Benedikt Taschen;1989;;;;;Disponível;;;
150-651;2951832362;Victor Brauner;;Brauner, Victor;Malingue;Malingue;2011;;;89;;Disponível;;;
150-652;9789729143755;30 anos de pintura;;Costa, Victor;Câmara Municipal;Câmara Municipal;2014;;;115;;Disponível;;;
150-653;0900955880;Victor Willing (1928-1988).;;Victor Willing;Marlborough Fine Art Ltd;Marlborough Fine Art Ltd;2000;;;;;Disponível;;;
150-654;2605001253;Vieira da Silva;;da Silva, Vieira;Skira;Skira;1988;;;189;;Disponível;;;https://covers.openlibrary.org/b/id/12638876-L.jpg
150-655;9789728467388;Patrimonio e biografia;;Fundação Arpad Szenes-Vieira da Silva;Fundação Arpad Szenes-Vieira da Silva;Fundação Arpad Szenes-Vieira da Silva;2009;;;98;;Disponível;;;
150-656;972776049X;VIEIRA LUSITANO (1699-1783) - O Desenho;;Luis Porfírio, José;Instituto Português de Museus;Instituto Português de Museus;;;;;;Disponível;;;
150-657;9727761038;Francisco Vieira, o Portuense - 1765-1805;;Vieira, Francisco;Instituto Portugues de Museus;Instituto Portugues de Museus;2001;;;294;;Disponível;;;
150-658;9780980108002;Walter Goldfarb;;Goldfarb, Walter;MoLAA, Museum of Latin American Art;MoLAA, Museum of Latin American Art;2007;;;109;;Disponível;;;https://covers.openlibrary.org/b/id/14320612-L.jpg
150-659;9788598746012;Walter Goldfarb. Entre o Paraiso e o Inferno;;Goldfarb, Walter;de Janeiro, Rio;Rio de Janeiro;2004;;;;;Disponível;;;
150-660;9789893100042;Warhol TV;;Benhamou-Huet, Judith;Fremont, Vincent;Museu Colecção Berardo;2010;;;214;;Disponível;;;
150-661;9780453006699;Warhol;;Makos, Christopher;American Library, New;New American Library;1989;;;127;;Disponível;;;https://covers.openlibrary.org/b/id/7921713-L.jpg
150-662;0330248154;From A to B and Back Again;;Warhol, Andy;Education Australia, Macmillan;Macmillan Education Australia;1979;;;222;;Disponível;;;
150-663;60910623;POPism;;Warhol, Andy;& Row, Harper;Harper & Row;1983;;;310;;Disponível;;;https://covers.openlibrary.org/b/id/4941019-L.jpg
150-664;9788866483441;Warhol;;Warhol, Andy;ore cultura, 24;24 ore cultura;2016;;;285;;Disponível;;;
150-665;9780853317166;After the party;;Warhol, Andy;Irish Museum of Modern Art;Irish Museum of Modern Art;1998;;;80;;Disponível;;;https://covers.openlibrary.org/b/isbn/9780853317166-L.jpg
150-666;0448128500;Andy Warhol's exposures;;Andy Warhol;Grosset & Dunlap;Grosset & Dunlap;1979;;;249;;Disponível;;;https://covers.openlibrary.org/b/id/8443983-L.jpg
150-667;9788417048365;Andy Warhol;;Lebrero Stals, Jose;Finlay, John;La Fábrica;2018;;;272;;Disponível;;;https://covers.openlibrary.org/b/id/9175896-L.jpg
150-668;9780714843223;A year in the life of Andy Warhol;;McCabe, David;Press, Phaidon;Phaidon Press;2003;;;239;;Disponível;;;https://covers.openlibrary.org/b/id/454017-L.jpg
150-669;9780060164195;Holy Terror;;Colacello, Bob;HarperCollins;HarperCollins;1990;;;514;;Disponível;;;https://covers.openlibrary.org/b/id/12345307-L.jpg
150-670;91445809;Popism;;Warhol, Andy;Hutchinson;Hutchinson;1981;;;310;;Disponível;;;
150-671;084780884X;Andy Warhol;;Warhol, Andy;Rizzoli;Rizzoli;1987;;;279;;Disponível;;;https://covers.openlibrary.org/b/id/8519248-L.jpg
150-672;377571264X;Andy Warhol;;Warhol, Andy;Nymphius, Friederike;DaimlerChrysler AG;2002;;;143;;Disponível;;;https://covers.openlibrary.org/b/id/13923761-L.jpg
150-673;1904621279;Werner Haypeter;;Muller-Tamm, Pia;Juda Fine Art, Annely;Annely Juda Fine Art;2008;;;;;Disponível;;;
150-674;0300032838;The etchings of James McNeill Whistler;;Jordan Lochnan, Katharine;in association with the Art Gallery of Ontario by Yale University Press, Published;Published in association with the Art Gallery of Ontario by Yale University Press;1984;;;308;;Disponível;;;https://covers.openlibrary.org/b/id/9798051-L.jpg
150-675;8774681257;Tegninger =;;Wiig Hansen, Svend;Kristensen, P.;P. Kristensen;1981;;;59;;Disponível;;;
150-676;9780500201077;William Blake;;Raine, Kathleen;and Hudson, Thames;Thames and Hudson;1988;;;216;;Disponível;;;https://covers.openlibrary.org/b/id/315940-L.jpg
150-677;9780810925892;William Blake at the Huntington;;E. Huntington Library and Art Gallery., Henry;Abrams in association with the Henry E. Huntington Library and Art Gallery, H.N.;H.N. Abrams in association with the Henry E. Huntington Library and Art Gallery;1994;;;159;;Disponível;;;https://covers.openlibrary.org/b/id/596151-L.jpg
150-678;0919876897;Oscar Cahen;;G. Burnett, David;Gallery of Ontario, Art;Art Gallery of Ontario;1983;;;72;;Disponível;;;https://covers.openlibrary.org/b/id/9579314-L.jpg
150-679;9783775743297;Wolfgang Tillmans;;Vischer, Theodora;Mundall, Kristina;Fondation Beyeler;2017;;;301;;Disponível;;;
150-680;3767214318;Wols - das druckgraphische Werk;;Busch, Ralf;Christians Verlag, Hans;Hans Christians Verlag;2004;;;182;;Disponível;;;
150-681;9780853316114;Wyndham Lewis;;Edwards, Paul;Lewis Memorial Trust in association with Lund Humphries London, Wyndham;Wyndham Lewis Memorial Trust in association with Lund Humphries London;1992;;;144;;Disponível;;;https://covers.openlibrary.org/b/id/650011-L.jpg
150-682;1870280849;Yuko Shiraishi - Assemble - Disperse;;;;Annely Juda Fine Art;2001;;;36;;Disponível;;;
150-683;3938051140;Yuri Grachev;;Grachev, Yuri;State Russian Museum;State Russian Museum;2005;;;183;;Disponível;;;
150-684;8495216361;Yves Klein;;Klein, Yves;Schneider, Angela;Guggenheim Bilbao;2004;;;238;;Disponível;;;
150-685;9782711838035;Autour de Zurbaran;;Gerard Powell, Véronique;des musees nationaux, Reunion;Reunion des musees nationaux;2001;;;94;;Disponível;;;https://covers.openlibrary.org/b/id/14620587-L.jpg
150-686;8682035049;Zuzana Chalupova;;Chalupova, Zuzana;Galeria Babka;Galeria Babka;1994;;;135;;Disponível;;;
150-687;9781559707114;The angel tree;;Dingwall-Main, Alex;Pub., Arcade;Arcade Pub.;2003;;;316;;Disponível;;;https://covers.openlibrary.org/b/id/787874-L.jpg
150-688;9781859745908;Venzano;;Donaldson, Stephanie;Holland Publishers Ltd, New;New Holland Publishers Ltd;2001;;;144;;Disponível;;;https://covers.openlibrary.org/b/id/2062148-L.jpg
150-689;9780297843009;Remarkable Trees of the World;;Pakenham, Thomas;& Nicolson, Weidenfeld;Weidenfeld & Nicolson;2002;;;192;;Disponível;;;https://covers.openlibrary.org/b/id/2353225-L.jpg
150-690;9780751307337;Royal Horticultural Society Essential Pruning and Training;;Horticultural Society Staff, Royal;Kindersley, Dorling;Dorling Kindersley;1999;;;;;Disponível;;;
150-691;9780500019757;Apremont;;Van Zuylen, Gabrielle;de Brissac, Gilles;Thames and Hudson Ltd;1999;;;80;;Disponível;;;https://covers.openlibrary.org/b/id/1260838-L.jpg
150-692;9780393059397;The new garden paradise;;Browning, Dominique;W. Norton, W.;W. W. Norton;2005;;;460;;Disponível;;;https://covers.openlibrary.org/b/id/247979-L.jpg
150-693;9783829022927;Jardines De Europa;;Toman, Rolf;Konemann;Konemann;2000;;;424;;Disponível;;;
150-694;9781899791361;Olives;;ROSENBLUM, Mort;Press, Absolute;Absolute Press;1997;;;316;;Disponível;;;
150-695;9780521586894;Tropical Food Crops (Cambridge Low Price Editions);;Norman;Pearson;Cambridge University Press;2002;;;442;;Disponível;;;
150-696;9780881923193;The pruning of trees, shrubs, and conifers;;Ernest Brown, George;Press, Timber;Timber Press;1995;Plantas & Jardins;;354;;Disponível;;;https://covers.openlibrary.org/b/id/679175-L.jpg
150-697;9789401479295;150 Gardens You Need to Visit Before Hb;;WALDEK;Collectors' Club, Antique;Antique Collectors' Club;2021;Plantas & Jardins;;;;Disponível;;;
150-698;9789728720070;Da terra;;Caetano, Paulo;Criaçao, Má;Má Criaçao;2005;Plantas & Jardins;;198;;Disponível;;;
150-699;9789897351464;Chá dos Açores;;Vieira, Virgílio;Lavadas, Letras;Letras Lavadas;2017;Plantas & Jardins;;150;;Disponível;;;
150-700;9783791329222;Labyrinths & mazes;;Hohmuth, Jurgen;Prestel;Prestel;2003;Plantas & Jardins;;175;;Disponível;;;https://covers.openlibrary.org/b/id/1027164-L.jpg
150-701;9788878136298;Il giardino, arte e storia;;Pizzoni, Filippo;arte, Leonardo;Leonardo arte;1997;Plantas & Jardins;;263;;Disponível;;;
150-702;9781854106551;The Garden;;Pizzoni, Filippo;Press Ltd, Aurum;Aurum Press Ltd;1999;Plantas & Jardins;;192;;Disponível;;;https://covers.openlibrary.org/b/id/904263-L.jpg
150-703;9787508503677;Chinese Gardens;;Qingxi, Lou;Intercontinental Press, China;China Intercontinental Press;2003;Plantas & Jardins;;151;;Disponível;;;https://covers.openlibrary.org/b/id/2266959-L.jpg
150-704;9781873429211;Great Bordeaux Wines (Pallas Guides);;Seely, James;Athene, Pallas;Pallas Athene;2003;Vinho;;416;;Disponível;;;https://covers.openlibrary.org/b/id/3019913-L.jpg
150-705;9782879390147;Villas and gardens of Tuscany;;Bajard, Sophie;Bajard, Sophie;Terrail;1993;Plantas & Jardins;;223;;Disponível;;;https://covers.openlibrary.org/b/id/8103752-L.jpg
150-706;9780297823735;Gardens Of Obsession;;Taylor, Gordon;Cooper, Guy;Sterling;1999;Plantas & Jardins;;192;;Disponível;;;https://covers.openlibrary.org/b/id/158032-L.jpg
150-707;9780863189791;Encyclopedia of Gardening (RHS);;Brickell, Christopher;Publishing (Dorling Kindersley), DK;DK Publishing (Dorling Kindersley);1995;Plantas & Jardins;;648;;Disponível;;;https://covers.openlibrary.org/b/id/654054-L.jpg
150-708;9780869771952;Cycads of South Africa;;Giddy, Cynthia;Struik, C.;C. Struik;1984;Plantas & Jardins;;112;;Disponível;;;https://covers.openlibrary.org/b/id/8546453-L.jpg
150-709;9780947430122;Cycads of Africa;;Goode, Douglas;Winchester, Struik;Struik Winchester;1989;Plantas & Jardins;;256;;Disponível;;;https://covers.openlibrary.org/b/id/13598878-L.jpg
150-710;9781876334093;Cycads of the World;;L. Jones, David;Natural History Australia, Reed;Reed Natural History Australia;1998;Plantas & Jardins;;312;;Disponível;;;https://covers.openlibrary.org/b/id/3021354-L.jpg
150-711;9781408719329;Garden Visitor's Handbook 2023;;National Garden Scheme (NGS), The;Little, Brown Book Group Limited;Little, Brown Book Group Limited;2023;Plantas & Jardins;;;;Disponível;;;
150-712;9784838101016;Invitation to Kyoto gardens;;Yamamoto, Kenz;Suiko Shoin, Mitsumura;Mitsumura Suiko Shoin;1995;Plantas & Jardins;;64;;Disponível;;;https://covers.openlibrary.org/b/id/14990393-L.jpg
150-713;9784838101160;The tea garden;;L. Houser, Preston;Suiko Shoin, Mitsumura;Mitsumura Suiko Shoin;1992;Plantas & Jardins;;76;;Disponível;;;https://covers.openlibrary.org/b/id/13902206-L.jpg
150-714;9784770016614;A Japanese touch for your garden;;Seike, Kiyoshi;International, Kodansha;Kodansha International;1992;Plantas & Jardins;;80;;Disponível;;;https://covers.openlibrary.org/b/isbn/9784770016614-L.jpg
150-715;9780711210493;The new perennial garden;;Kingsbury, Noël;London;;1996;Plantas & Jardins;;160;;Disponível;;;https://covers.openlibrary.org/b/isbn/9780711210493-L.jpg
150-716;9780500282069;The History of Garden Design;;Tyssot, Georges;& Hudson, Thames;Thames & Hudson;2000;Plantas & Jardins;;544;;Disponível;;;https://covers.openlibrary.org/b/id/316689-L.jpg
150-717;9781850299196;The Essential Garden Book;;& Dan Pearson Conran, Terence;Octopus, Conran;Conran Octopus;1998;Plantas & Jardins;;;;Disponível;;;
150-718;9780714839851;The garden book.;;Richardson, Tim;Phaidon;Phaidon;2000;Plantas & Jardins;;512;;Disponível;;;https://covers.openlibrary.org/b/id/453848-L.jpg
150-719;9780810930926;Gardens in time;;Le Toquin, Alain;Abrams;Abrams;2006;Plantas & Jardins;;319;;Disponível;;;https://covers.openlibrary.org/b/isbn/9780810930926-L.jpg
150-720;9781885254351;Paradise Transformed;;Cooper, Guy;Taylor, Gordon;Monacelli;1997;Plantas & Jardins;;208;;Disponível;;;https://covers.openlibrary.org/b/id/932373-L.jpg
150-721;9780500282533;Garden mania;;De Bay, Philip;& Hudson, Thames;Thames & Hudson;2000;Plantas & Jardins;;400;;Disponível;;;https://covers.openlibrary.org/b/id/11636324-L.jpg
150-722;9781844034338;Gardens of Persia;;Hobhouse, Penelope;Press, Kales;Kales Press;2006;Plantas & Jardins;;192;;Disponível;;;https://covers.openlibrary.org/b/id/2028264-L.jpg
150-723;9780711230323;The Gardens of Madeira;;Luckhurst, Gerald;Lincoln, Frances;Frances Lincoln;2010;Plantas & Jardins;;176;;Disponível;;;https://covers.openlibrary.org/b/id/8492410-L.jpg
150-724;9781894197069;The Butchart Gardens;;;;Butchart Gardens;2000;;;32;;Disponível;;;https://covers.openlibrary.org/b/id/8007800-L.jpg
150-725;9784770023216;The Gardens of Japan;;Itoh, Teiji;International, Kodansha;Kodansha International;1998;;;244;;Disponível;;;https://covers.openlibrary.org/b/id/1043666-L.jpg
150-726;9789813018785;Made Wijaya's tropical garden design.;;Wijaya, Made;Press, Archipelago;Archipelago Press;2002;;;208;;Disponível;;;
150-727;9780751303049;Water gardening;;Robinson, Peter;Kindersley, Dorling;Dorling Kindersley;1997;;;216;;Disponível;;;https://covers.openlibrary.org/b/id/10397586-L.jpg
150-728;9780500280799;Garden ornament;;Plumptre, George;and Hudson, Thames;Thames and Hudson;1998;;;256;;Disponível;;;https://covers.openlibrary.org/b/id/1260993-L.jpg
150-729;9781903141014;Bulbs for All Seasons;;Brown, Kathy;Aquamarine;Aquamarine;2000;;;160;;Disponível;;;https://covers.openlibrary.org/b/id/2107287-L.jpg
150-730;9781859260852;Tulips;;Killingback, Stanley;Publishing, Aurora;Aurora Publishing;1996;;;128;;Disponível;;;https://covers.openlibrary.org/b/id/12196914-L.jpg
150-731;9789725642375;Jardins e palacio dos marqueses de Fronteira;;Cassiano Neves, Jose;Editores, Quetzal;Quetzal Editores;1995;;;138;;Disponível;;;
150-732;9788836605453;Lo specchio del paradiso;;Fagiolo, Marcello;Silvana;Silvana;1996;;;259;;Disponível;;;
150-733;9780333711019;A photographic garden history;;Phillips, Roger;Macmillan;Macmillan;1997;;;319;;Disponível;;;https://covers.openlibrary.org/b/id/10796069-L.jpg
150-734;9788586714115;Arvores Brasileiras (Manual de Identificacao e Cultivo de Plantas Arboreas Nativas do Brasil, Volume 1);;;;Instituto Plantarum de Estudos da Flora;2000;;;352;;Disponível;;;
150-735;9780711220317;The Chinese Garden;;Keswick, Maggie;Lincoln Publishers, Frances;Frances Lincoln Publishers;2003;;;216;;Disponível;;;https://covers.openlibrary.org/b/id/449317-L.jpg
150-736;9781854106391;Gardens for the 21st century;;Péreire, Anita;Aurum;Aurum;1999;;;216;;Disponível;;;https://covers.openlibrary.org/b/id/8206431-L.jpg
150-737;9781902757056;Portfolio of contemporary gardens;;Woodhams, Stephen;Quadrille;Quadrille;1999;;;192;;Disponível;;;https://covers.openlibrary.org/b/id/11697183-L.jpg
150-738;9781859742600;Serene Gardens;;Kawaguchi, Yoko;Holland Publishers Ltd, New;New Holland Publishers Ltd;2000;;;144;;Disponível;;;https://covers.openlibrary.org/b/id/2062072-L.jpg
150-739;9780881922684;Bamboos;;Recht, Christine;Wetterwald, Max;Timber Press;1992;;;128;;Disponível;;;https://covers.openlibrary.org/b/id/5496447-L.jpg
150-740;9788586714207;Palmeiras Brasileiras E Exoticas Cultivadas;;Lorenzi, Harri;Instituto Plantarum;Instituto Plantarum;2003;;;416;;Disponível;;;
150-741;9780316146975;Oz Clarke's Wine Atlas;;Clarke, Oz;Brown & Co (T), Little;Little Brown & Co (T);1995;;;320;;Disponível;;;https://covers.openlibrary.org/b/id/2379311-L.jpg
150-742;5411572012196;les arts du vin;;;;;2003;;;;;Disponível;;;
150-743;9781891267147;The wines of France;;Coates, Clive;Appreciation Guild, Wine;Wine Appreciation Guild;1999;;;416;;Disponível;;;https://covers.openlibrary.org/b/id/12451955-L.jpg
